date,ticker,title,sentiment
2024-01-05,TUPRS,TÜPRAŞ'ın İzmit rafinerisindeki fuel oil dönüşüm tesisi bakıma girecek - Anadolu Ajansı,0.0
2024-01-11,TUPRS,"Tüpraş, Irak'tan aldığı petrolü taşıyan gemiyle irtibatın kesildiğini, rafineri operasyonlarının devam ettiğini bildirdi - Anadolu Ajansı",0.0
2024-01-11,TUPRS,Tüpraş’tan İran’ın el koyduğu petrol yüklü gemiye ilişkin açıklama - rudaw.net,0.0
2024-01-12,TUPRS,"İran, Tüpraş'a ham petrol taşıyan gemiye el koydu - BBC",0.0
2024-02-08,BIMAS,BİM’in GES gücü 26 MW’a ulaştı - Yeşil Ekonomi,0.0
2024-02-12,TUPRS,Tüpraş İzmir rafinerisinde üç enerji kaynağı birden kullanacak - Yeşil Ekonomi,0.0
2024-02-20,TUPRS,"""Rafineri marjlarındaki düzenlemeyle akaryakıtta indirim olacak"" | Enerji haberleri - Bloomberght",0.0
2024-06-01,TUPRS,Nijerya'da açılan Afrika'nın en büyük rafinerisi Avrupa'ya ilk jet yakıtı ihracatına başladı - Anadolu Ajansı,0.0
2024-07-03,TUPRS,İş Yatırım'dan Tüpraş (TUPRS) analizi (3 Temmuz) - Ekonomist,0.0
2024-07-09,TUPRS,"Tüpraş, Irak'tan aldığı gemiyle irtibatın kesildiğini, rafineri operasyonlarının devam ettiğini bildirdi - Anadolu Ajansı",0.0
2024-07-16,BIMAS,BIMAS TEMETTÜ TARİHİ 2024 | BİM Birleşik Mağazalar temettü ödemesi ne zaman hesaba geçer? - Hürriyet,0.0
2024-07-18,TUPRS,Tüpraş’ta Yükseliş Yakın mı? Bilanço Beklentileri Ne Yönde? - getmidas.com,0.9999990000010001
2024-07-24,TUPRS,"TÜPRAŞ, kazasız bir milyon saate ulaştı - Haber Denizde",0.0
2024-07-24,TUPRS,"Morgan Stanley'den Tüpraş raporu, hedef fiyat tahmini haberi - borsaningundemi.com",0.0
2024-08-03,TUPRS,Tüpraş’tan İzmir Rafineri işletme sahası dışında çıkan yangınla ilgili açıklama - Gündeme Bakış,0.0
